words,love,disgust,courage,fear,anger,laughter,surprise,sorrow,peace
pushy,0.2,0,0.2,0,0,0,0,0,0.2
quarrelsome,0,0.7,0,0,0.7,0,0,0,0
queasy,0.5,0,0,0.2,0,0,0,0,0
querulous,0,1,0,0,0.4,0,0,0.2,0
quick-witted,0.1,0,0.7,0,0,0,0.4,0,0
quiet,0,0.2,0,0.1,0,0,0,0,0.3
quirky,0.2,0.2,0,0,0,0,0,0,0
rage,0,0.6,0,0,1,0,0,0,0
rapture,0.2,0,0,0,0,0,0.4,0,0.8
rejection,0,0.5,0,0.2,0,0,0,0.7,0
relief,0,0,0,0,0,0,0,0,1
relieved,0.1,0,0,0,0,0,0,0,1
remorse,0,0.6,0,0.3,0.5,0,0,1,0
repentance,0,0.6,0,0.2,0.3,0,0,0.7,0
resentment,0,0.4,0,0,0,0,0,0.4,0
resigned,0,0.4,0,0.1,0.5,0,0,0.8,0
revulsion,0,0.8,0,0,0.4,0,0,0.7,0
roused,0,0.3,0,0.4,0.4,0,0.6,0.3,0.4
sad,0,0,0,0,0,0,0,1,0
sadness,0,0,0,0,0,0,0,0.9,0
sarcastic,0.3,0.4,0,0.2,0.2,0.3,0,0.2,0.3
sardonic,0.2,0,0.4,0,0,0,0,0,0.7
satisfaction,0.2,0,0,0,0,0,0,0,0.8
scared,0,0.2,0,0.8,0,0,0,0.2,0
scorn,0,0.9,0,0,0,0,0,0,0
self-assured,0.4,0,0,0,0,0,0,0,0.2
self-congratulatory,0.6,0,0.3,0,0,0,0,0,0.4
self-satisfied,0.3,0,0,0,0,0,0,0,0.6
sentimentality,0.3,0,0,0,0,0,0,0.3,0
serenity,0.2,0,0,0.1,0,0,0,0,0.4
shame,0,0.7,0,0.6,0.6,0,0,0.4,0
shock,0,0,0,0,0,0,0.7,0.2,0
smug,0.2,0,0,0,0,0,0,0,0.8
sorrow,0,0.2,0,0,0,0,0,1,0
sorry,0,0,0,0.2,0,0,0,0.5,0
spellbound,0.3,0,0,0,0,0,0.4,0,0.5
spite,0,0.6,0,0,0.5,0,0,0,0.3
stingy,0,0.4,0,0.2,0,0,0,0.3,0
stoical,0.3,0,0.8,0,0,0,0,0,0
stressed,0,0.3,0,0.2,0,0,0,0.5,0
subdued,0,0.2,0,0.2,0.3,0,0,0.2,0
submission,0.1,0,0.2,0,0,0,0.3,0,0
suffering,0,0.6,0,0.3,0,0,0,0.4,0
surprise,0.2,0,0,0,0,0,1,0,0
sympathy,0.4,0,0,0,0,0,0,0.2,0.6
tenderness,0.2,0,0,0.2,0,0,0,0,0
tense,0,0.3,0,0.2,0,0,0,0.5,0
terror,0,0.3,0,0.7,0,0,0,0.3,0
threatening,0,0.3,0,0.6,0,0,0,0.2,0
thrill,0.2,0,0,0,0,0.3,0.5,0,0.4
timidity,0,0.3,0,0.2,0,0,0,0,0
torment,0,0.4,0,0.2,0,0,0,0.3,0
tranquil,0.2,0,0,0,0,0,0,0,0.8
triumphant,0.3,0,0.2,0,0,0.1,0,0,0.8
trust,0.2,0,0.1,0.2,0,0,0,0,0.2
uncomfortable,0,0.4,0,0.1,0,0,0,0.3,0
unhappiness,0,0.3,0,0,0,0,0,0.5,0
unhappy,0,0.5,0,0,0,0,0,0.7,0
upset,0,0.2,0,0,0,0,0,0.5,0
vain,0,0.2,0,0,0,0,0,0.4,0
vanity,0,0.2,0,0,0,0,0,0,0.2
venal,0,0.2,0.3,0,0,0.3,0,0,0.5
vengeful,0,0.6,0,0.2,0,0,0,0.2,0
vexed,0,0.3,0,0.2,0,0,0,0.2,0
vigilance,0,0,0.2,0,0,0,0.1,0,0.1
vivacious,0.2,0,0,0,0,0,0,0,0.2
wary,0,0,0.2,0,0,0,0,0,0
watchfulness,0,0,0.3,0,0,0,0,0,0
weariness,0,0.2,0,0.1,0,0,0,0,0
weary,0,0.3,0,0.1,0,0,0,0,0
woe,0,0,0,0,0,0,0.6,0.2,0
wonder,0,0,0,0,0,0,0.9,0,0.2
worried,0.2,0,0,0.4,0,0,0,0.1,0
wrathful,0,0.5,0,0,0.8,0,0,0.1,0
zeal,0.4,0,0.4,0,0,0.1,0,0,0.6
zest,0.5,0,0.2,0,0,0,0,0,0.7
